Local time,Ask,Bid,AskVolume,BidVolume
27.07.2020 05:02:32.797 GMT+0700,1901.382,1900.248,370,370
27.07.2020 05:02:32.848 GMT+0700,1901.502,1900.248,370,370
27.07.2020 05:02:32.957 GMT+0700,1901.462,1900.208,370,370
27.07.2020 05:02:33.547 GMT+0700,1901.392,1900.208,370,370
27.07.2020 05:02:33.982 GMT+0700,1901.452,1900.288,370,370
27.07.2020 05:02:34.413 GMT+0700,1901.492,1900.298,370,370
27.07.2020 05:02:34.464 GMT+0700,1901.492,1900.428,370,370
27.07.2020 05:02:34.842 GMT+0700,1901.532,1900.458,370,370
27.07.2020 05:02:35.696 GMT+0700,1901.632,1900.558,370,370
27.07.2020 05:02:35.746 GMT+0700,1901.702,1900.558,370,370
27.07.2020 05:02:36.014 GMT+0700,1901.592,1900.558,370,370
27.07.2020 05:02:36.115 GMT+0700,1901.702,1900.558,370,370
27.07.2020 05:02:37.123 GMT+0700,1901.632,1900.528,370,370
27.07.2020 05:02:38.113 GMT+0700,1901.682,1900.528,370,370
27.07.2020 05:02:38.163 GMT+0700,1901.652,1900.528,370,370
27.07.2020 05:02:38.387 GMT+0700,1901.592,1900.518,370,370
27.07.2020 05:02:41.214 GMT+0700,1901.612,1900.558,370,370
27.07.2020 05:02:41.539 GMT+0700,1901.792,1900.658,370,370
27.07.2020 05:02:41.590 GMT+0700,1901.822,1900.788,370,370
27.07.2020 05:02:41.924 GMT+0700,1901.872,1900.818,370,370
27.07.2020 05:02:43.676 GMT+0700,1901.942,1900.898,370,370
27.07.2020 05:02:43.800 GMT+0700,1901.902,1900.898,370,370
27.07.2020 05:02:43.850 GMT+0700,1901.972,1900.948,370,370
27.07.2020 05:02:43.901 GMT+0700,1901.982,1900.948,370,370
27.07.2020 05:02:44.793 GMT+0700,1902.052,1900.978,370,370
27.07.2020 05:02:44.894 GMT+0700,1902.052,1901.028,370,370
27.07.2020 05:02:45.422 GMT+0700,1902.112,1901.088,370,370
27.07.2020 05:02:48.299 GMT+0700,1902.042,1901.008,370,370
27.07.2020 05:02:48.400 GMT+0700,1902.092,1901.038,370,370
27.07.2020 05:02:48.802 GMT+0700,1902.312,1901.278,370,370
27.07.2020 05:02:49.191 GMT+0700,1902.402,1901.398,370,370
27.07.2020 05:02:49.292 GMT+0700,1902.442,1901.448,370,370
27.07.2020 05:02:50.109 GMT+0700,1902.322,1901.448,370,370
27.07.2020 05:02:50.159 GMT+0700,1902.392,1901.448,370,370
27.07.2020 05:02:50.210 GMT+0700,1902.442,1901.448,370,370
27.07.2020 05:02:50.315 GMT+0700,1902.402,1901.448,370,370
27.07.2020 05:02:50.415 GMT+0700,1902.432,1901.448,370,370
27.07.2020 05:02:52.032 GMT+0700,1902.472,1901.468,370,370
